gene	IgG.C13	IgG.C15	IgG.C16	IgG.C20	IgG.C25	IgG.C26	IgG.C27	IgG.C28	IgG.C29	IgG.C32	IgG.C35	IgG.C37	IgG.C40	IgG.C41	IgG.C42	IgG.C43	IgG.C44	IgG.C47	IgG.C48	IgG.C49	IgG.C51	IgG.C52	IgG.CC	average	median
IGHD6-19	0.11558937480837307	0.07078901845207586	0.08510172828702686	0.10059481252717932	0.08627362185768456	0.09070158953879881	0.12094012796833092	0.0857485477566149	0.09058859491220322	0.10324057886010132	0.1138587766140306	0.10459504532622771	0.0804919583727531	0.09105170621776253	0.09791870236466681	0.08490754713550663	0.08852091633466137	0.09363536316947906	0.10764449750684743	0.0608084547088329	0.07697307335190344	0.10100395497414057	0.10518145584224879	0.093746062908149991	0.091051706217762526
IGHD3-10	0.07699919168269373	0.06726518452075857	0.07961683907866364	0.07793002292276277	0.08852226915579431	0.07194033356824041	0.07535471783988587	0.08715017676099096	0.08544645586387249	0.08033206627790253	0.07814612793069457	0.08210429224935471	0.07529233680227042	0.09624855508174089	0.07738909517295291	0.07418046944601012	0.09640604249667996	0.06549584250427978	0.08550460004213783	0.0756283361497814	0.09020427112349123	0.0779434134469121	0.13165512901195725	0.082467642136079489	0.078146127930694573
IGHD3-22	0.07237227192909107	0.0847482060481804	0.06342782135825231	0.07079522086192537	0.09298572993850056	0.10283063190039926	0.08451043381158271	0.06362876558014462	0.08326597153822639	0.09861601452789963	0.08251781908188753	0.09705309643818766	0.08150236518448437	0.07922523240113845	0.07491694352159468	0.08483482118506935	0.04980079681274901	0.05348190266568842	0.0475981459372147	0.06107668785708538	0.07154131847725162	0.07094615150593246	0.06452695615691212	0.075487100205191227	0.074916943521594684
IGHD1-26	0.056735513002759454	0.06475845720143518	0.05923992874331969	0.049884649119574305	0.05681217809078387	0.05798293007595329	0.06093578826480652	0.0492335165833476	0.055972557144312735	0.04733974756646404	0.06585611807576831	0.07718036391417361	0.05404351939451275	0.060414582260774875	0.056107094000390885	0.07386229341284706	0.031997011952191234	0.05895390070921985	0.03504459582835874	0.05328451490035139	0.04175177963478801	0.05144508670520229	0.06381371932032724	0.055767384604420121	0.056735513002759454
IGHD3-3	0.04127992864509297	0.058319451563300886	0.058161702659624365	0.06395524533252746	0.07495490993699082	0.05932973142275463	0.05022942213142943	0.059159126421744944	0.05804435689297964	0.04606517251880847	0.04820319482960145	0.04885263618831111	0.05318070009460731	0.04601882522074466	0.05937072503419974	0.05766258795294635	0.054158366533864535	0.05233553436047935	0.04124236252545826	0.05011936375097237	0.05445682451253483	0.04876787344082749	0.019593035452066285	0.052324394670515965	0.053180700094607312
IGHD6-13	0.046868467263149104	0.04204574577139927	0.04470731631090414	0.045440139158122846	0.03085123272198235	0.041179234202490006	0.04363254354257408	0.04383984052576661	0.04740006113507452	0.036996514657613055	0.045831136983475816	0.03430911276121976	0.04065468306527911	0.047126191146900843	0.03874340433847959	0.033444846457337155	0.04353419654714475	0.04258376131083393	0.03569422009972611	0.04952925082481693	0.05484370164035903	0.04569516276239731	0.06910006293266205	0.043654383746074277	0.043632543542574079
IGHD3-16	0.040081389190846535	0.04713127883136857	0.051129793418132945	0.04134205037111294	0.041652027035819515	0.041739096390259134	0.036752525760374216	0.04395404733353061	0.04177563427639847	0.036263352019581085	0.04119588384938008	0.03810105000326092	0.04241059602649005	0.03621280853254592	0.0388508891928865	0.04903547208232584	0.04843127490039839	0.043286867204695524	0.04773860523913198	0.038169576996325214	0.043918291550603554	0.03708548828719196	0.061820851688693106	0.042959950007884919	0.041739096390259134
IGHD2-15	0.04486161050255042	0.032283124038954406	0.041535143919742466	0.033794491166260085	0.041930505347043755	0.030447889750215368	0.033481871153143855	0.037698628999185024	0.03585232483102946	0.0421512119742378	0.036262691082437626	0.035375886260516375	0.03650709555345317	0.044129503530943116	0.039730310728942786	0.034399374556826276	0.07017762284196546	0.03960320371729028	0.03964463796614931	0.04830879000026824	0.05337356855462706	0.047125038028597487	0.047640025173064815	0.041144110855541066	0.03964463796614931
IGHD4-17	0.046631546673356214	0.037224500256278846	0.0457542894646373	0.04042808812365026	0.0351767556495962	0.043802364732597306	0.049835144189295744	0.053038679769302245	0.04512447780457153	0.049088058472540254	0.038078976921137674	0.04752965071320098	0.038539262062440884	0.03751930605068629	0.05033222591362127	0.03544481009436193	0.03892762284196547	0.03920579603815113	0.030163635086733618	0.04330624178535984	0.04339213865676262	0.026346212351688464	0.027061044682190054	0.040954383840614172	0.040428088123650258
IGHD5-24	0.0367784374390278	0.031193939005638136	0.03964434165703033	0.02937209319466659	0.04382780150482392	0.03228408112129043	0.034095780432170965	0.037698628999184976	0.03441904697211559	0.03434584973549748	0.028957440469369513	0.038124342001062114	0.038331125827814595	0.03617881045586565	0.03666210670314638	0.04754459009836186	0.049800796812749	0.029683296649547553	0.043858417023667405	0.039765564228427336	0.026833797585886717	0.042166108913903246	0.02393538913362702	0.036326164607168462	0.036662106703146381
