gene	IgG.C13	IgG.C15	IgG.C16	IgG.C20	IgG.C25	IgG.C26	IgG.C27	IgG.C28	IgG.C29	IgG.C32	IgG.C35	IgG.C37	IgG.C40	IgG.C41	IgG.C42	IgG.C43	IgG.C44	IgG.C47	IgG.C48	IgG.C49	IgG.C51	IgG.C52	IgG.CC	average	median
IGHV4-39	0.09966557032696718	0.11363654546181842	0.0993751952514839	0.09096390923709126	0.08249652569364462	0.08743837008393926	0.10366243938424159	0.10651538116687653	0.088118035915085	0.08162564789070811	0.0829000950581498	0.062394572103309974	0.09042675276188147	0.08213800982297169	0.09589271077138822	0.09708341831531712	0.1043286146796498	0.04657497343490429	0.07407148841105836	0.05723791417707768	0.059626763768775605	0.060892483868035994	0.03737129782636329	0.082801596322206045	0.08743837008393926
IGHV3-7	0.1011580663884359	0.07828313132525297	0.0789597000937207	0.08549967244357093	0.06279436973108603	0.08179233831907988	0.08009416461450009	0.07429071579531624	0.07623947933349234	0.09641986750420482	0.07726115172923688	0.10327716759755594	0.09352526241699058	0.07779774052122292	0.09721604993136412	0.09108523538464389	0.09328205547827512	0.07164344403370398	0.06073722423903937	0.05923411189570886	0.08564709452283416	0.07670635281286922	0.05732807931867294	0.080881411975251227	0.078959700093720706
IGHV4-34	0.0422459301843509	0.037409496379855176	0.041018431740081226	0.041808111488297287	0.03688172217445616	0.036683391256558374	0.04569370463988545	0.049927417116751666	0.03585374995740621	0.05018364054508631	0.032912417410897676	0.03652959478202197	0.031543593353123005	0.045130989229882915	0.031108345924806685	0.04531548402647729	0.0779805253252598	0.050301569959740784	0.10838452946104439	0.04024986420423683	0.04487938097405553	0.05504559362598079	0.04080335579000889	0.045995253893489796	0.041808111488297287
IGHV3-23	0.054641939139327265	0.04020960838433535	0.036129334582942825	0.05552825918646889	0.036046266404944634	0.040672779247274846	0.03537139695592275	0.03518135046858652	0.032023716223123326	0.03978306387944943	0.04249451361913369	0.03637028151591257	0.03754934663524806	0.03703143155654068	0.038080565678112584	0.03002799770085105	0.029457491203665826	0.06453447475941751	0.04253351019268361	0.03431558935361217	0.06313154301319984	0.03211245417916326	0.05105715859497478	0.041055829238038764	0.03754934663524806
IGHV1-2	0.01705314944307786	0.04912196487859511	0.03762886597938144	0.038324102197605854	0.03448080073974339	0.04530268344660982	0.042601894140747935	0.0385383088188203	0.03705319112686135	0.030801267749058912	0.05854877891352058	0.028545188739363497	0.03098127123052912	0.03996562936345971	0.030436800679445784	0.057302579125952546	0.048768513214957857	0.013394794737866112	0.0626570790282044	0.02236556219445953	0.04497041420118343	0.03308188675815687	0.05821787212406254	0.039136634731811469	0.038324102197605854
IGHV3-30	0.04999861805920236	0.03605744229769191	0.03409871915026555	0.035152760407361094	0.03471332241022233	0.03512163877258117	0.04168519944889837	0.03201118630318296	0.0413534603196238	0.039302509182027254	0.030084144065907016	0.052076695280578796	0.04021176974630474	0.04282659428002304	0.04841051165822297	0.0349693137782063	0.02319777432288684	0.02696918448897735	0.03361491203574419	0.04303367734926673	0.04874829312699135	0.044927141082735	0.03605779416126434	0.038461854857746322	0.036057794161264339
IGHV3-33	0.03772698377601503	0.03228929157166287	0.03195876288659794	0.05014591150020843	0.03158239107981985	0.04990095721588954	0.0422086375421734	0.04523621458915951	0.030040549289535555	0.030435130836737257	0.03853962516576501	0.03900363609101474	0.032645285674939566	0.04231884624022342	0.04891417059224365	0.031121947601653897	0.029457491203665826	0.04233952437253992	0.041625942474169224	0.041770776751765354	0.032650584129874066	0.0496228301372353	0.024659972035083254	0.038095454902520552	0.038539625165765007
IGHV4-59	0.04132002984992122	0.049177967118684725	0.021446422992814743	0.03338097790482997	0.06453017103861482	0.03170555232661583	0.05170646242636609	0.0456631727259142	0.04473370361536104	0.03473723955651666	0.037553836945934234	0.03916763504142146	0.038096367475594466	0.03765635222090947	0.027898754678596472	0.0460200619286893	0.040422224040585875	0.03870272535432599	0.034347947500698126	0.028422053231939165	0.02812926718252162	0.01208761246932655	0.04798525486208211	0.038038773586446258	0.038096367475594466
IGHV1-18	0.030596169260108892	0.03398535941437656	0.03739456419868791	0.031236972187481376	0.039039306977272384	0.044337955329925155	0.038582540491869106	0.03625941976389213	0.03524721436603401	0.03446263687227542	0.05075048996021644	0.029913408554185256	0.03603069437218841	0.039955864978078966	0.03250081474239326	0.03537722730053955	0.027984616643482535	0.045527335857641016	0.02586567997765987	0.0319663226507333	0.03067819754210287	0.050713441788603104	0.028897080632176598	0.035969709298344525	0.035247214366034008
IGHV3-53	0.026408888643210518	0.03434537381495259	0.03967510153077163	0.03495175987135965	0.028200011896457575	0.03861284748992769	0.0340451729786611	0.03836218858740899	0.0305039697413705	0.03418803418803419	0.045522291722899656	0.0351192038085242	0.033004865807754705	0.0337701268393661	0.04253449076131504	0.03878886766914505	0.01963832746911055	0.05949084813745004	0.02905962021781625	0.031776208582292235	0.018843878015475646	0.03635372171226029	0.045040464387102234	0.035140707124898543	0.03434537381495259
IGHV3-48	0.04018683839584312	0.029705188207528287	0.0310215557638238	0.037237210410338874	0.03145801902351715	0.03826886656307701	0.03385532496555615	0.01931985568814977	0.03583330493747231	0.035972951635602234	0.028687610754480078	0.04236795741650111	0.0329742632432598	0.038500971556345395	0.03332049496834849	0.03747241948343314	0.030930365763849114	0.058772468084469516	0.020874057525830773	0.043576860401955464	0.04246700045516614	0.03671725892938289	0.028346256514554462	0.035124656551673274	0.035833304937472311
IGHV1-69	0.026353611011304266	0.0339853594143766	0.03937831927522651	0.034743314871061914	0.06290792682597073	0.03090688396772119	0.023619804944727128	0.031226650726896277	0.03609909019661298	0.03010331925994577	0.04022954782833211	0.03221876522847401	0.037067356244453245	0.03297921162352439	0.029133212850215792	0.046576307640961996	0.02303412159397758	0.018573117619767415	0.04187028762915387	0.039462248777838174	0.0357153694431801	0.041473537520070276	0.0341087242066014	0.034859395160886687	0.034108724206601403
IGHV5-51	0.03877725878223377	0.03143325733029321	0.04376757263355202	0.036663986659519976	0.037181837353795266	0.030875253537665917	0.025640330227058236	0.03929082253485044	0.035574334684976325	0.033821897275712526	0.04285831641454744	0.03592514150766577	0.035349787312176785	0.031470614082196605	0.035809162642333026	0.03583149463222887	0.03608542672449063	0.028810033374739953	0.03351019268360793	0.043101575230852805	0.028068578364436353	0.018176860856130145	0.019363586288716567	0.033799448744946982	0.035574334684976325
IGHV3-21	0.023962853431358993	0.033953358134325366	0.02697594501718213	0.03712554344589363	0.024698668137501423	0.03717761672617142	0.042317122121090484	0.0320805670004056	0.03540395951886054	0.03580132495795147	0.030805881869711685	0.0351051467556322	0.03229718150381003	0.03167566617519262	0.02824440296664988	0.0221849331578069	0.017674494722199494	0.03957076791834413	0.025726054174811504	0.04987778381314504	0.04595660749506904	0.03859553455118302	0.023897292487606452	0.03265690026443057	0.03229718150381003
IGHV3-74	0.03523949034023382	0.029521180847233878	0.029053420805998126	0.02532606753618009	0.026204651514905735	0.033211951557996375	0.030077349504767915	0.02577759750656447	0.027260026578525914	0.02208263252439959	0.02306040299961274	0.031909510064849864	0.03240811580010406	0.030123128899651415	0.020442627322015818	0.02734874752007119	0.037435561737991986	0.06196027956957061	0.02495811225914549	0.030893536121673004	0.03459262630860264	0.03241540186009876	0.06461590610567348	0.031996448925472473	0.030077349504767915
IGHV3-23D	0.024792017909952724	0.027633105324212974	0.027038425492033735	0.024082841998689777	0.018590918676897623	0.02734055297899344	0.02432224259321538	0.025030420767243763	0.020819845299349177	0.028661655167679264	0.030295384398727875	0.02495595456760505	0.024191327233222145	0.019602003651880136	0.020659891960220816	0.01884745888417109	0.01718353653547173	0.01631321370309951	0.028919994414967877	0.021523628462791957	0.030905780609922617	0.02120633766548517	0.039616965382822764	0.024457978420811158	0.02432224259321538
IGHV4-4	0.028550896879577677	0.031609264370574805	0.031583880037488285	0.021976058602822937	0.026331727311562827	0.021212157155791736	0.021610128120287713	0.021027688235168537	0.029229563498824416	0.017368619778258328	0.022461888723286916	0.028976271694718298	0.021961165345655977	0.021384003983869245	0.02020561135306491	0.024085439341405068	0.03547172899108093	0.01709145876049508	0.022148142976822115	0.021591526344378057	0.019116977696859355	0.022418128389227184	0.02160925384517605	0.023870503540712889	0.021976058602822937
IGHV3-15	0.01340482573726541	0.02296091843673746	0.01908778506716651	0.015953486987076406	0.012450724332040955	0.014320677207507484	0.012559802124128062	0.01584014687359904	0.022653082086755035	0.02654492614331971	0.01717501261574211	0.019792330471942125	0.019769256663708427	0.01768330192456036	0.022052360777807405	0.010114401201490736	0.031094018492758373	0.03726596524836493	0.03368472493716839	0.021048343291689302	0.0288271885905022	0.01969159926080766	0.015889157239100036	0.020428871117879922	0.019691599260807661
IGHV3-9	0.01077913822171858	0.013920556822272884	0.022492970946579195	0.009380025013400033	0.023252167047894068	0.01423369352485559	0.027392356176569512	0.020493990564225167	0.0253518247180291	0.0171626677650774	0.02130006689277207	0.02291299621396709	0.021287908926768073	0.016697099001103378	0.01629484786537493	0.015111341850073236	0.016569838802062028	0.012870975949234476	0.02146746718793633	0.03625746876697447	0.015248065543923533	0.03453603562664728	0.029024193890089398	0.02017555205728469	0.020493990564225167
IGHV1-24	0.019899947486249688	0.009840393615744625	0.02296157450796626	0.017978381275683398	0.01955345024306627	0.022852985714907032	0.009844975536727458	0.018652733599470565	0.020036119535216546	0.01853568118628359	0.02438065507974324	0.013550998987892192	0.01979603390764147	0.017575893685371977	0.013924688175865849	0.01724361708045167	0.01963832746911055	0.012571650927159254	0.012566322256352973	0.028924497555676266	0.012289485662266727	0.016359174770517133	0.010804626922588025	0.017381835442693595	0.017978381275683398
IGHV3-30-5	0.023907575799452747	0.01962478499139965	0.015557638238050607	0.014821928414031321	0.009852429851456516	0.013178027921762136	0.012266893761051872	0.009211621800482456	0.014393294033461682	0.01615579125619286	0.012427972914295113	0.009671252389698992	0.01675490406096032	0.016203997539374893	0.021064794240511955	0.02046057144976173	0.018820063824564276	0.01354445724890372	0.016877268919296286	0.021156979902227046	0.02961614322561068	0.02081250568026902	0.011588492013050294	0.016433451716342008	0.016155791256192861
IGHV1-3	0.026118681075702713	0.01905676227049081	0.022211808809746953	0.02018938717169912	0.012142497931638636	0.012770786134800986	0.016055717679731834	0.01913306150331959	0.015333764950420825	0.019016235883705757	0.015297320768445399	0.0194924466769127	0.017864247023900614	0.0231513577377872	0.01967232542292537	0.008343685684089516	0.004909581867277637	0.023347351721867186	0.01466070929907847	0.023221075502444326	0.010013654984069186	0.012723802599291102	0	0.01629244620431939	0.017864247023900614
IGHV4-31	0.01077913822171858	0.016912676507060277	0.016588566073102155	0.013846703591209573	0.020110420756073964	0.026031843935458113	0.0173656689701559	0.03430074931152999	0.013882168535114321	0.02061808487511298	0.00886622619145416	0.01224837875323312	0.012068886372678033	0.016277230429730605	0.012887743311705625	0.010309087200786157	0.012273954668194094	0.02027927024559618	0.02932141859815694	0.010184682237914178	0.007282658170232135	0.015601805568178377	0.011736790813948562	0.016077137101667135	0.013882168535114321
IGHV3-66	0.00932810038417954	0.012560502420096797	0.012808497344579822	0.010921029122744324	0.015700620238037307	0.021714290232918577	0.015337007344405995	0.009563862263305075	0.010767710498517736	0.012357120790855727	0.010268627289903891	0.015275330809311392	0.009792820638369497	0.01797623348598323	0.015850442923591973	0.01679862051063356	0.012273954668194094	0.03434754628313153	0.01378804803127618	0.01548071700162955	0.0198755879229252	0.015147384046775124	0.019066988686920045	0.01508700186688201	0.015147384046775124
IGHV4-38-2	0.022553273817749644	0.023592943717748702	0.011933770696657296	0.008486689297838124	0.007270357812998507	0.010303612590492686	0.010213823105045622	0.01515701385479153	0.021133335605002215	0.021419009370816595	0.012803511283754452	0.030344491509540054	0.021452397710928186	0.024035034614746185	0.017400922387145832	0.02098900487642074	0.006014237787415107	0.012751245940404386	0.006475146607092991	0.014258555133079848	0.022030040964952206	0.005453058256839044	0.0005084530316512013	0.015068692607526572	0.014258555133079848
IGHV4-61	0.008457477681656117	0.010600424016960671	0.019900031240237426	0.010675361800964797	0.015587063143152249	0.022734371602199908	0.012402499484698262	0.01908502871293469	0.02011789961495213	0.009508117941852879	0.012809379070777255	0.014947332908497958	0.010852434434005574	0.014587991758858743	0.012314954720074262	0.010698459199377001	0.043327059978725144	0.013739018513252614	0.014381457693381738	0.016784356328082565	0.009467455621301775	0.010815232209397438	0.011016482352442689	0.014991734349034083	0.012809379070777255
IGHV3-30-3	0.010848235261601391	0.0031041241649665966	0.010481099656357388	0.007891132154130186	0.012953620037960523	0.005867444775246026	0.017002245630783588	0.0052195632218260965	0.017105666678025017	0.01580109612238126	0.00546290971822887	0.0087434868988267	0.011013097897603833	0.012522824250827536	0.01752930603699424	0.005108189791037027	0.017388102446608298	0.006016432943711929	0.01258377548170902	0.022555676262900594	0.01283568502503414	0.04180677996909934	0.05773060463539681	0.014677004307011146	0.012522824250827536
IGHV2-5	0.013847046792515406	0.007968318732749308	0.01780693533270853	0.010005360014293368	0.01671181913058526	0.009323069258780412	0.014423024767029372	0.011720000853916265	0.012934882611510544	0.01640751038341399	0.013754092781448412	0.013044945083780037	0.018537503442788515	0.0139533067091092	0.01658124216119061	0.01874548050358778	0.01841093200229114	0.005836837930466797	0.010995531974308852	0.021998913633894623	0.011561219845243513	0.02090338998454967	0.005084530316512012	0.013937212793333634	0.013847046792515406
IGHV1-69D	0.006702412868632705	0.009016360654426174	0.01366760387378944	0.017233934846048474	0.035846189618718584	0.01363666915756304	0.00768613241627703	0.014991567576799088	0.018857123385695302	0.014382315587134861	0.017233690485970135	0.01305900213667204	0.014168987361140879	0.011116752755997775	0.012048311755004492	0.021248586208814632	0.0006136977334097047	0.008934851908945328	0.0034033789444289303	0.014122759369907662	0.009406766803216508	0.016207700930049383	0.020761832125757385	0.013667244717582586	0.01366760387378944
IGHV1-46	0.01090351289350764	0.014432577303092116	0.01310527960012496	0.01568548627240783	0.009281940636676787	0.01987972528971497	0.010221959448464409	0.01934120359498751	0.014461444099907994	0.01562946944473048	0.0155496356104259	0.009896165235971062	0.011992379961440777	0.01448058351967036	0.010527459287569499	0.01598279346596703	0.009819163734555275	0.011224688327820764	0.01103043842502094	0.012696903856599676	0.010013654984069186	0.005453058256839044	0.0031778314478200075	0.012382058899886273	0.011992379961440777
IGHV3-11	0.010143445454796713	0.012832513300532013	0.0051077788191190255	0.008687689833839553	0.012026237096399169	0.010066384365078425	0.011933303680881774	0.010679290395576711	0.011142535863972462	0.00902756324443071	0.011002100667754165	0.011779810323499645	0.014784863971600837	0.011683087108081986	0.013332148253488572	0.011060018912354214	0.0004909581867277638	0.0029034527141296377	0.009843619100809829	0.016064638783269962	0.01655287513275679	0.0122390863097943	0.027456463709164863	0.011340863705567788	0.011142535863972462
IGHV1-8	0.00345485199414057	0.008856354254170161	0.014604810996563574	0.006915907331308438	0.010566217305019776	0.008714183480217146	0.010607079703620143	0.010108233887667307	0.008600538385524924	0.011041316262199794	0.008942507422750587	0.006873898864190125	0.008098203629464153	0.011639147373868555	0.006389555496301563	0.010976582055513318	0.0012273954668194093	0.0020952751545265423	0.008639346551242669	0.013172189027702334	0.006766803216507359	0.008179587385258565	0.013452819795771363	0.0086922958713194949	0.0087141834802171459
IGHV5-10-1	0.014593294823249768	0.003712148485939436	0.005810684161199626	0.010720028586742893	0.004115092819406369	0.006824265284416872	0.004252595493550594	0.005827978566701532	0.006474256312399903	0.007620224487694364	0.017098731384445683	0.009146455748397495	0.012386387979312673	0.008231376875982542	0.009243622789085413	0.0026885209426510664	0.0029457491203665823	0.00957840070640705	0	0.0019554589896795226	0.005310271582460931	0.0018176860856130147	0.0059107664929452155	0.0067940868573325456	0.0059107664929452155
IGHV3-49	0.010944971117437327	0.00928037121484859	0.005623242736644799	0.006030016080042879	0.006218602815134461	0.006203518094582894	0.007225072955879326	0.006068142518626045	0.010631410365625106	0.00943946727079257	0.002094799967140394	0.009629081231022978	0.006713437586069715	0.00760157401892338	0.012295203389328355	0.006229951977453505	0.0024547909336388187	0.007857281829474535	0.003926975705110304	0.004073872895165671	0.005461993627674101	0.0018176860856130147	0.004703190542773611	0.0066315067373479289	0.006218602815134461
IGHV3-72	0.009120809264531106	0.004320172806912275	0.0037488284910965324	0.007146685724495263	0.004542283795402563	0.0042701080574566765	0.004068171709391512	0.0032021860256601824	0.003680103588100998	0.004805546974221672	0.004224806656417601	0.004498256925441391	0.004131346206812133	0.006151562789880193	0.012443338369922672	0.004449965698181076	0.01963832746911055	0.010775700794707932	0.013089919017034346	0.006518196632265074	0.0063723258989531175	0.005453058256839044	0.005084530316512012	0.0065972274551889531	0.004805546974221672
IGHV6-1	0.0043531135126171185	0.008400336013440535	0.005388940955951265	0.011390030373414326	0.004096166636925525	0.0056341703535886705	0.004556352314518493	0.013449181307772767	0.0057246055814904415	0.006521813750729412	0.0073934116487308025	0.006817670652622109	0.006529822199100287	0.006590960132014492	0.007554884010310194	0.004171842842044758	0.0024547909336388187	0.00897975066225661	0.006806757888857861	0.0048886474741988055	0.006827492034592627	0.008179587385258567	0.0015889157239100038	0.0064477932342601957	0.0065298221991002868
