gene	IgK.C13	IgK.C15	IgK.C16	IgK.C20	IgK.C25	IgK.C26	IgK.C27	IgK.C28	IgK.C29	IgK.C32	IgK.C35	IgK.C37	IgK.C40	IgK.C41	IgK.C42	IgK.C43	IgK.C44	IgK.C46	IgK.C47	IgK.C48	IgK.C49	IgK.C50	IgK.C51	average	median
IGKV3-15	0.12871075239230798	0.130003590228982	0.12583395035645198	0.12869651927331652	0.12277845358738605	0.1297666094370114	0.13180903672226088	0.12837111102258694	0.13644491668178405	0.12246449189328408	0.13176105631562202	0.12665656022299382	0.12755175364315136	0.1253694925303362	0.12737669201221485	0.1252042979698197	0.12508775288786775	0.13860897752096402	0.11913722683579914	0.1240352463670585	0.1244734391794184	0.13197308673424385	0.12850189933523265	0.12785290926739537	0.12755175364315136
IGKV3-11	0.12777173604468847	0.12328939576912495	0.12684961563659336	0.12436225393129197	0.11350500189562658	0.11406813223131235	0.10770985715986939	0.11617137393936978	0.11576437660351935	0.1201716198983598	0.12305122494432069	0.10979643369980306	0.10578902334137394	0.11784424446794502	0.11926115831196897	0.11598217274583035	0.13477475999015343	0.12613628356000284	0.1262735323272582	0.12376185569178352	0.1288296353070445	0.12024175366670313	0.1262167616334283	0.12033140012162487	0.12024175366670313
IGKV4-1	0.12237785144324632	0.11693888684251016	0.1128086246263941	0.10317251225917207	0.11952914031590675	0.12519570581529849	0.11946173275921503	0.10775604509421184	0.1065125560421904	0.1070425720370126	0.10897231944002546	0.12314449695250713	0.1115663284595843	0.12998155744130163	0.10788628627927935	0.12267723874474076	0.12016447398411785	0.09935874850257208	0.10192371762441231	0.10548674055224914	0.08784247036738752	0.09505025950061567	0.1159188034188034	0.11177256819577192	0.11156632845958429
IGKV1-5	0.09557876163397581	0.1129290207067622	0.10406304877906952	0.10124617210716115	0.11034174774443699	0.09868334448984846	0.12815707609156643	0.10338073802599954	0.12066239925363467	0.09652677006577089	0.10582246261533568	0.12937285219548414	0.11006728028884316	0.10222365379298155	0.1022863492785706	0.111256243805423	0.10491598515722582	0.09689239658938766	0.10251601041448151	0.10350991566949168	0.10158469732670274	0.1086409647566057	0.09449192782526114	0.10631086167887042	0.10350991566949168
IGKV3-20	0.10573760825984987	0.11819779830373336	0.09195259711814667	0.09948980314503357	0.12686044699572263	0.1040048621866956	0.10637275486945494	0.10490114063392159	0.0974862000155493	0.1009177769820779	0.10633418177961607	0.0878460382592614	0.10842672904593766	0.10649366197383835	0.10009887388766876	0.10702259912964142	0.08241933572203532	0.09971108449016985	0.10562554756234496	0.08126012071249815	0.09008793228884425	0.10013089697949046	0.08840811965811965	0.10086026565215878	0.10091777698207791
IGKV1-39	0.0618877285849679	0.05660438940462813	0.0677123108711074	0.06562870926711253	0.056136131572765306	0.0616315773258533	0.06371083491591924	0.06413908032240503	0.059654806022753776	0.06398683326109215	0.06427510870717998	0.06378840485642774	0.05849604344144313	0.06638751036859462	0.07150857052858155	0.058565418014978575	0.07157900495063046	0.05461207807765486	0.05554801479086717	0.0621395974848058	0.05371743705970236	0.05320556470932756	0.059983380816714144	0.061517327624152719	0.061887728584967903
IGKV1D-39	0.060577473216196526	0.05520559889215791	0.06701452556414005	0.06494882450757927	0.05557791025196714	0.06079133768950902	0.06308406821728747	0.06320957654463612	0.05872184932749372	0.06342146756371357	0.06363877399512143	0.06282814451918074	0.05730211127005638	0.0655323685433229	0.07072107938785688	0.057974676897427656	0.07103197396132492	0.05461207807765486	0.05554801479086717	0.06113015499148284	0.05317852619855275	0.05278217825275466	0.059449192782526104	0.060794865454035216	0.06079133768950902
IGKV1-9	0.040443215716076404	0.039329326575620945	0.03963808202078624	0.046161342319143574	0.0330397244247413	0.040233474586952186	0.032863467231592385	0.042325618451977846	0.03576333998496904	0.03689011175395285	0.04000954502068088	0.028985636105788682	0.04033943049435425	0.039279514507481066	0.033468373480798334	0.03885763795446042	0.042736796039495636	0.06365536842599771	0.03327533799763904	0.035582847889634284	0.04424158775115492	0.03849288534341934	0.05138592117758784	0.039869503706708928	0.039329326575620945
IGKV3D-20	0.024370749859147556	0.01799777126045013	0.02112738846095697	0.02368265245707519	0.020077360171373945	0.02282651012068641	0.02265761615553842	0.02386832915056633	0.02206701738927619	0.02182939775989547	0.022709195036589247	0.023650856454416534	0.022043525460603557	0.022205182729555694	0.02471847191719093	0.021036947575007712	0.022428270561527307	0.025015855119441904	0.01748086359579307	0.022333915164770454	0.02547850793546243	0.02346266613508145	0.021233974358974356	0.022361001079538315	0.022428270561527307
IGKV3D-15	0.026270620143866046	0.01860391381585389	0.01868513988657112	0.022696819555751965	0.02013550822562375	0.02331664990855391	0.021184714413753775	0.021893133622807363	0.023608987482831013	0.02437354339809911	0.02785290062572913	0.022783954761068564	0.028243128809804393	0.024097896636157103	0.023121614881832574	0.02254661931986006	0.012946400080231213	0.012331759565922066	0.019558001505410837	0.025698723475846983	0.025328810474031987	0.022739380938436082	0.01976495726495726	0.022077529512739141	0.022739380938436082
