gene	IgL.C13	IgL.C15	IgL.C16	IgL.C20	IgL.C25	IgL.C26	IgL.C27	IgL.C28	IgL.C29	IgL.C32	IgL.C35	IgL.C37	IgL.C40	IgL.C41	IgL.C42	IgL.C43	IgL.C44	IgL.C46	IgL.C47	IgL.C48	IgL.C49	IgL.C50	IgL.C51	IgL.C52	IgL.CC	average	median
IGLV2-14	0.17944770518618303	0.18163714495335917	0.18253547977123488	0.22191999190303888	0.14732985928692122	0.19487777026869565	0.20921700942587834	0.19099225010453477	0.22905545170609362	0.22506983039133813	0.20623914098329865	0.2152467944117156	0.1921019773011052	0.20379746056743522	0.2001250954630433	0.19304827421277426	0.21375299434470155	0.22408074981975487	0.20414459558921672	0.23452132530073136	0.18513347679940248	0.21932516387996528	0.21278133454426842	0.19800704472331926	0.16404141643327738	0.20113717349485147	0.20379746056743522
IGLV2-11	0.08775137111517367	0.0696716111629036	0.08538974793475959	0.0714809847928949	0.11450154060232581	0.08582880846403021	0.08336393683437383	0.09731760824364344	0.07670536117150005	0.08034094508595618	0.0651932317998967	0.07786569485904786	0.07607297936972363	0.08311597234183912	0.07965332660628448	0.06623271316844595	0.08076704615612575	0.09736842105263159	0.07425797323631592	0.08033387958170736	0.06976778653197455	0.08727250309950614	0.07453326766995197	0.07969152650920236	0.057588581709320165	0.0800826727639814	0.079691526509202359
IGLV2-23	0.1115173674588666	0.082359236315293	0.07764509637788607	0.07919840085018094	0.06758771493887293	0.07406026426790335	0.06445862406659325	0.06389511006226263	0.07055252471389314	0.09741699542143006	0.0895330818476372	0.07364723734975402	0.0593962402792235	0.07591230099165816	0.06669454245124906	0.07000676339694414	0.0741486182797027	0.07984859408795965	0.0849283619542294	0.06533366344026444	0.06796853231839982	0.07428540115486564	0.06589256362206034	0.09234763117366301	0.050171718680005924	0.075152263420031951	0.074060264267903353
IGLV2-8	0.06667949581449052	0.05996281974194474	0.06387682694344418	0.04744313149970901	0.03710698075075374	0.04848174127846007	0.08707461133553678	0.06163257590945281	0.06000480507228117	0.07613672358683445	0.07317607651008813	0.07795357939049148	0.08728664875816335	0.07761017741578286	0.09468551622612562	0.07368739654057851	0.0732348801027338	0.0850757029560202	0.07490628134283676	0.07518578339483539	0.08949437103171075	0.09449897596427177	0.10467979507908386	0.08329394184291182	0.10535296110016501	0.075140871983548282	0.075185783394835393
IGLV3-1	0.07793707302992399	0.06520336056575776	0.0810209701334463	0.09260899268743199	0.08263876070257146	0.06935284658945258	0.0762027175908924	0.07732711661501977	0.07137290290824069	0.052523972701356295	0.0709064441905239	0.06573762951982821	0.060381296706983	0.0669922980388297	0.06240950449065068	0.06793290411296742	0.07149383844121206	0.06878154289834175	0.06406809523264727	0.05918345692694026	0.06491543208778701	0.06781239939448323	0.059288916746080986	0.06896052210243821	0.07429609909060118	0.069573963740176326	0.068781542898341749
IGLV1-40	0.06052150485903974	0.05499809685622715	0.06354585892819317	0.04529237620505554	0.04605241361031044	0.05686187690801892	0.05818490635328681	0.059914195540230135	0.0695563511921853	0.06300573041149538	0.05685820276425565	0.06412641311002852	0.0736130006149947	0.06948374713944734	0.0668327694822361	0.0697265121423527	0.06457906304793422	0.0642393655371305	0.0536951655283139	0.060794693138098654	0.06236624160397436	0.06586022426039961	0.06363804979757344	0.06907488449398454	0.06284211714746685	0.061826550426889344	0.063005730411495375
IGLV3-21	0.04733955547002789	0.06619630514290127	0.053947786485914	0.06540826396093216	0.05954155839853089	0.06350353056325883	0.041620761415105886	0.046739946042856396	0.05795385958641218	0.04376997725113025	0.05458857044469142	0.06231013279352702	0.06133972998804622	0.05874898496518123	0.05674219622018185	0.049436321309931745	0.048526905884967775	0.041528478731074264	0.05579263293176366	0.06323119667692355	0.06506364083684588	0.05856525402250825	0.05260532257136096	0.034384959058263824	0.035308856896244044	0.053767789105943257	0.055792632931763661
IGLV3-25	0.03906475512364092	0.047054540239078985	0.050969074348654934	0.051997672123681074	0.04292861165935413	0.05495094497914288	0.026319010894846367	0.05034854481822399	0.052504204438246015	0.04106314971059983	0.04957972670496346	0.03793682273982956	0.048613865867262324	0.04881394719358252	0.04540757967924418	0.05451821072652336	0.052539945175709375	0.036121124729632303	0.05537313945107371	0.03772650640761132	0.06260337560246858	0.045550753128617526	0.046369433269588686	0.05066253945502509	0.032140346787968406	0.046446313010182781	0.048613865867262324
IGLV1-44	0.053689983642836524	0.04247596246669498	0.05103526795170515	0.041180638141747425	0.07331468518229278	0.059844795040898596	0.06105398457583546	0.057508463023318405	0.036331034321107736	0.04388516140179111	0.04085338175215615	0.03587153625090448	0.04553889242385115	0.033296217918748004	0.03967115789328184	0.038973607805184274	0.03704343960684563	0.03806777217015141	0.04290274234329058	0.03487736920495318	0.038415707756060256	0.0287346480262482	0.035368684962872474	0.04158978972568274	0.07016246808727608	0.044867495667029383	0.041180638141747425
IGLV1-47	0.042143750601366305	0.03767673034383464	0.040907646685024356	0.03548746236178234	0.0393788367150856	0.03327818041993894	0.035920859346309224	0.03894995503571367	0.03492467170222615	0.03524635010222594	0.04167514517820527	0.034816921873581035	0.0428233314608387	0.04344656610644948	0.040293179532723544	0.042224522358445093	0.03148692366581878	0.04109589041095891	0.035237452377955995	0.03546684586757211	0.0407277642413787	0.03613236432382819	0.03412150710251802	0.038616367545478106	0.06103934415482726	0.038924742780563452	0.038616367545478106
IGLV6-57	0.023669777735013952	0.052791553351463766	0.016680787968650707	0.02922496900382075	0.029676118534084944	0.02936310037053436	0.02731362467866324	0.019589536209138343	0.021798620592664644	0.024707000316756416	0.01995711177547858	0.020740749420694465	0.027634826270656238	0.02020842048278747	0.020734054648056704	0.027464622949962075	0.025559973328723482	0.032660418168709446	0.02734334778679053	0.037608611075087534	0.04695253170185142	0.028255166414368014	0.030795699474906145	0.028819322669675667	0.004698135677788017	0.026969923224253078	0.027343347786790529
IGLV1-51	0.03204079669007986	0.031443244942878104	0.022042469815717006	0.02542951848384403	0.04259729933122241	0.025448020321129777	0.02914983474109438	0.03007165646139658	0.028303047704991997	0.02107869957093904	0.024535508006323665	0.027683627404740493	0.026596523549504415	0.026944560643716628	0.02384416284526521	0.03340594954730081	0.019262588595559727	0.01795241528478731	0.02951708673218392	0.02829487980570849	0.023743041599231688	0.021062942236165245	0.022545138244868982	0.02367301505009073	0.02261660663493301	0.026371305369746939	0.025448020321129777
IGLV3-10	0.015587414605984796	0.0364079678285957	0.033361575937301415	0.0258090635358417	0.051542732190779116	0.03859150334413087	0.034199412412780024	0.028009600018329386	0.017579532736019872	0.018832608633052094	0.025357271432372784	0.023465169895446704	0.03274647043632676	0.02343807672432885	0.02571022776359031	0.0239895073930281	0.018151285407354358	0.012761355443403028	0.02219501870559566	0.016976927883425093	0.030412435306881036	0.01931625922145886	0.020338592799626486	0.019670331345969107	0.021524016942424166	0.025438974317761848	0.023465169895446704
IGLV7-46	0.023669777735013952	0.026809503582875018	0.01846801525100614	0.0258090635358417	0.028682181549689753	0.029502924658013095	0.02605123026074183	0.02697857179679579	0.023204983211546234	0.02107869957093904	0.025357271432372784	0.023728823489777565	0.019248535061353045	0.02380718029479072	0.023947833118505492	0.026679919437106018	0.019262588595559727	0.020331651045421777	0.026199274657636114	0.01756640454604402	0.014405890408522597	0.02455630826557802	0.024367936656156265	0.022872478309266402	0.021961052819427705	0.023381923971599231	0.02380718029479072
IGLV3-19	0.01731934956220533	0.0311122634171636	0.025815505189578477	0.020495432807874293	0.020162721683445274	0.015380671622660855	0.02685457216305545	0.029384304313707515	0.023556573866266632	0.020387594666973825	0.02465290278147354	0.02847458818773308	0.01821023234020122	0.024914491006176334	0.024880865577668044	0.027352522448125496	0.03185735806188724	0.023359769286229272	0.02448316496390449	0.020513787859138655	0.01805182563537091	0.014795432595159978	0.025519177758021913	0.018984156996691114	0.013985148064113165	0.022820176514193033	0.023556573866266632
IGLV7-43	0.019051284518425863	0.02383066985144446	0.018666596060156745	0.020874977859871965	0.020730685674528238	0.020134697396937847	0.020657363202350346	0.014778071175314891	0.01687635142657908	0.026261986350678147	0.030992220639566737	0.023553054426890326	0.021724487704099703	0.020669799945864813	0.021356076287498405	0.02152329635262334	0.020373891783765096	0.017303532804614278	0.01922042856979418	0.01756640454604402	0.014939441905134545	0.018083306505195528	0.01880360466380562	0.02150012961071042	0.020103650342162674	0.02038304038416229	0.020373891783765096
IGLV4-69	0.019339940344462618	0.01605260399715356	0.015092141495445879	0.009488626299941802	0.009087423857327448	0.019155927384586702	0.014230627983841351	0.014606233138392625	0.0281272523776318	0.02678031502865206	0.01737442672218135	0.015116139408302746	0.021724487704099703	0.023991732080021658	0.024362514211466627	0.018384482301199104	0.021299977773936236	0.01925018024513338	0.017961948127724323	0.02110326452175758	0.017429348889323636	0.015103670774225812	0.019858909007182467	0.02264375352617374	0.036601754699046175	0.019366707275968415	0.019155927384586702
IGLV8-61	0.024824401039160972	0.022010271460014674	0.016283626350349502	0.019926115229877785	0.020730685674528238	0.01244436158560742	0.012279654792508263	0.012028662584558631	0.018458509372820866	0.024015895412791203	0.01737442672218135	0.020213442232032742	0.010223288331341037	0.012549521395703636	0.020008362735374718	0.02320480388017204	0.014817375842738251	0.018817591925018026	0.011555138604459596	0.011789533252378538	0.012360609671510129	0.011713050804501648	0.015829565150652692	0.016353821991125478	0.008358311147692634	0.016326841087564003	0.016283626350349502
IGLV2-18	0.018185317040315598	0.01109891382895978	0.016455729718280025	0.015257711090306419	0.011766320681935437	0.011614737479900258	0.017619965724078836	0.031354713803749504	0.012270513849741871	0.01053934978546952	0.015511762956470016	0.01235070615221015	0.007923048456789305	0.012125052289672483	0.01203266304742224	0.016815075275486986	0.015076679919986171	0.012761355443403028	0.014056845180210584	0.01517705914022864	0.00952685838950445	0.011966491085066892	0.009699206283218102	0.01514158064073436	0.05516485357477137	0.015659700433516482	0.012761355443403028
IGLV3-27	0.0028865582603675548	0.005957667462861115	0.016283626350349502	0.009868171351939474	0.007951495875161516	0.013702780172916035	0.010328681601175173	0.010653958289180502	0.013712035534095501	0.009329916203530395	0.010800319313788408	0.010546143773234474	0.013258327054707907	0.01144221068431802	0.01181841114939232	0.008519638139580073	0.011853900674190601	0.0077865897620764245	0.010067843536558856	0.008724254606760119	0.012271684422074804	0.009452637491352209	0.011128663984701286	0.011436239154633201	0.007429609909060119	0.010288454590320224	0.010546143773234474
IGLV3-9	0.0057731165207351096	0.0031443244942878108	0.004765939419614488	0.008349991143948786	0.00525366691751743	0.005033674349234462	0.012279654792508263	0.004295950923056654	0.005625450475526359	0.00823566677225214	0.006691502183542818	0.014764601282528263	0.010223288331341037	0.010334899972932406	0.005805535301455877	0.007622834124887433	0.01092781468401946	0.010490266762797405	0.013042433672360337	0.025995920821494677	0.01618439539722909	0.015720147132357476	0.015445818116697473	0.013723486985559842	0.007866645786063655	0.00990388105455795	0.0083499911439487862
IGLV10-54	0.003463869912441066	0.0006619630514290127	0.005560262656216903	0.010627261455934818	0.008756111529195717	0.006152268649064342	0.002754315093646713	0.0044105096143381645	0.0043362847415515686	0.006162352060356496	0.006926291733842566	0.00711864704693327	0.012752487267480097	0.003137380348925909	0.005148956904267415	0.009080140648762973	0.00703825352530067	0.006705118961788032	0.005110193310223055	0.0020042206529043514	0.004950172218566406	0.0028768896712811068	0.0028781027546641255	0.00400268370412162	0.02532987103799663	0.0063177843420493211	0.005148956904267415
IGLV1-36	0.007793707302992398	0.009101991957148925	0.005560262656216903	0.003985223045975557	0.011075297826117826	0.0060124443615856065	0.003672420124862284	0.006186169329201582	0.00703181309440795	0.004492181875773894	0.0058697387574937	0.006283743998218874	0.005311317765892023	0.005490415610620341	0.0046651622958127584	0.004371919571626616	0.002778257970513422	0.0034607065609228555	0.005720365645772077	0.003831598307023025	0.004624112970636883	0.004726318745676104	0.004221217373507384	0.004117046095667953	0.018737913226526622	0.0059648538588077428	0.0053113177658920228
IGLV3-16	0.0021168093909362073	0.003199488081906895	0.007281296335522134	0.006135978340629032	0.0047330332590247125	0.002237188599659761	0.003940200758966826	0.003780436812289856	0.0036331034321107733	0.003916261122469548	0.003913159171662466	0.0037497400082611466	0.0035675016572908826	0.003045104456310441	0.004146810929611341	0.005081889416591623	0.0049391252809127505	0.004974765681326604	0.005033921768279428	0.004244231970856273	0.0056319324642372295	0.0023974080594009227	0.005884121187313323	0.004231408487214284	0.003860483580197904	0.0042270160101192944	0.0039402007589668256
IGLV5-45	0.001731934956220533	0.006123158225718368	0.004964520228765092	0.006072720831962753	0.0036207704431539048	0.004194728624362052	0.0028116966580976864	0.0034367607384453236	0.0029885205651233784	0.003628300745817376	0.002817474603596976	0.0023728823489777566	0.004392819204873102	0.0041893255247422425	0.0028509325141077967	0.004596120575299776	0.004074778356753019	0.004109589041095891	0.0044618852037022205	0.004244231970856273	0.004268411972895584	0.004572199656143187	0.004940743062173416	0.0038883213125752887	0.0014749960848869353	0.0038731129380138373	0.0041095890410958909
IGLV9-49	0.00837101895506591	0.0039717783085740765	0.003177292946409659	0.0011386351559930163	0.0017038919732488963	0.003215958612010906	0.0011476312890194638	0.0034367607384453236	0.0022853392556825836	0.0013822098079304289	0.003052264153896724	0.002695125630937699	0.002449329496050457	0.0023991732080021655	0.004561492022572475	0.004596120575299776	0.007408687921369126	0.002956020187454939	0.004652564058561289	0.0037726506407611323	0.004772321719695757	0.005137302984430548	0.007451088242630457	0.0024016102224729725	0.0007101833001307466	0.0035538580562658613	0.0031772929464096589
IGLV1-50	0.0014432791301837774	0.0019858891542870382	0.003177292946409659	0.0026568153639837046	0.0034077839464977926	0.002516837174617231	0.0025247888358428203	0.003780436812289856	0.003164315892483577	0.0024188671638782503	0.00234789550299748	0.0027244204747522392	0.0038337331242528886	0.003875587489849652	0.003732129836650207	0.0028025125459144977	0.004445212752821476	0.0021629416005767847	0.004347477890786778	0.004008441305808703	0.004535187721201558	0.0033906199697241617	0.0027821659961753216	0.0036595965294826246	0.007538868878311003	0.0033305239215911625	0.0031772929464096589
