gene	IgG.C13	IgG.C15	IgG.C16	IgG.C20	IgG.C25	IgG.C26	IgG.C27	IgG.C28	IgG.C29	IgG.C32	IgG.C35	IgG.C37	IgG.C40	IgG.C41	IgG.C42	IgG.C43	IgG.C44	IgG.C47	IgG.C48	IgG.C49	IgG.C51	IgG.C52	IgG.CC	average	median
IGHV3-7:IGHD6-19:IGHJ4	0.010958207622507068	0.0022886420600731617	0.0023317312147661824	0.008001910133386702	0.003885900204178332	0.005981282419041045	0.00620028251819137	0.0036530882483472304	0.0035988661619926997	0.009142466866662601	0.010626088043589586	0.0071195415298620154	0.007078772468925908	0.006459905225073821	0.007879504007016059	0.0054164584092237485	0.002127047775856435	0.0031766727494713376	0.001897570477265597	0.00422190323397786	0.008294529527373043	0.0046091048443321425	0.002857129251765461	0.0055568089127338884	0.0054164584092237485
IGHV4-39:IGHD6-19:IGHJ4	0.010184501320629766	0.0053986113110596765	0.005515441142620009	0.005506690844481171	0.006616449953328879	0.005170109989633095	0.014586035261253339	0.007592989210407671	0.006752753210680446	0.01046520675375421	0.0055856783207855155	0.004609106176981567	0.006140199167593724	0.007438341816823383	0.006443783764704667	0.004526952042899614	0.002836063701141914	0.002094509505145937	0.0011984655645887981	0.001842285047553975	0.0023328364295736683	0.00209504765651461	0.0007142823129413652	0.0054628843697868256	0.0055066908444811706
IGHV4-39:IGHD3-22:IGHJ4	0.00473697735843245	0.00576774712720051	0.005775518855036238	0.006083172542262792	0.004958506727413675	0.004875948559188453	0.004555599493811038	0.004323324274077053	0.005558335590756623	0.006120913987325883	0.004681330402182147	0.0033578733185617867	0.0031622025713107676	0.0031632410267358035	0.002464464667904592	0.0033038807892039283	0.005672127402283828	0.0005236273762864842	0.00683125371815615	0.00844380646795572	0.0020736323818432607	0.00419009531302922	0	0.0043749382587373216	0.004681330402182147
IGHV3-7:IGHD3-22:IGHJ4	0.00378958188674596	0.00260240750379287	0.0045737804597336664	0.00578202538670523	0.005332386715512853	0.003284802639965164	0.00352171176904635	0.0031519207696483536	0.0033724732797849166	0.005952329491912246	0.0018884912417893884	0.006450092102427231	0.0029692248831863937	0.004775437683595879	0.0033914651393182455	0.00624772328727666	0.011911467544796037	0.00479991761595944	0.0023969311291775963	0.0009211425237769875	0.005184080954608153	0.000419009531302922	0.0020714187075299585	0.0041212966194605427	0.0035217117690463499
IGHV4-39:IGHD3-10:IGHJ4	0.0053054146414443434	0.004032808791338596	0.0038025155194648524	0.003936423533359588	0.003009427445191736	0.0038976389533915	0.003649552645710089	0.004057645128742709	0.004180461669733387	0.0049019184051042036	0.003903325207501307	0.003671345669503473	0.00331132169395233	0.004414083260506552	0.0051663318955614615	0.003806875460637219	0.009217207028711219	0.0015708821288594526	0.00563278815356735	0.0014584756626468966	0.0035251750491335438	0.00419009531302922	0.0017857057823534128	0.0040185834364975847	0.003903325207501307
IGHV3-7:IGHD1-26:IGHJ4	0.0055580534338940755	0.002879259365898495	0.003766642731545372	0.0028393874666856043	0.0024639304133749038	0.004104889052113862	0.0033664764188118075	0.003302874829497414	0.0027011012842721787	0.0024120550882258777	0.0035808187806464294	0.008575328379997981	0.0029648390266381127	0.0032911048995212583	0.0045445632866864495	0.006501867963369271	0	0.0031417642577189053	0.002636624242095356	0.0028555418237086612	0.0037325382873178692	0.002514057187817532	0.005214260884471965	0.003606433874100408	0.0032911048995212583
IGHV4-59:IGHD6-19:IGHJ4	0.0035527330188243372	0.0035067902533379098	0.0011299928194636116	0.0046462704000309885	0.009198367084259673	0.002380033391779373	0.005174511674484696	0.004160293889440069	0.0034895730464441148	0.0025287674312045494	0.0018951408588379428	0.00376963784734112	0.0028486138281086605	0.00402493234333343	0.003187977230959151	0.006552167430512599	0	0.00366539163400539	0.0005992327822943991	0.0025331419403867156	0.0010368161909216304	0	0.0067142537416488325	0.0033302016885921391	0.0034895730464441148
IGHV3-30:IGHD6-19:IGHJ4	0.004934351415033802	0.0018179938944936009	0.0023676040026856626	0.004517207333363461	0.0018096404342013445	0.0016165507700344167	0.0033329942844474952	0.0021133568378868275	0.005218746267444947	0.005083470938626581	0.0038202049943943787	0.0034960136766038863	0.0029355999829829044	0.0026962599261280574	0.005002411080494412	0.004606372254178554	0	0.0005236273762864842	0.0029362406332425557	0.0010746662777398187	0.002643881286850157	0.0059359683601247284	0.0014285646258827304	0.0030396402892663831	0.0029355999829829044
IGHV3-7:IGHD3-10:IGHJ4	0.0037106322641054183	0.0027823612141615263	0.0033182328825518753	0.0030975136000206587	0.0017866560087034442	0.0017694255740382228	0.003247767033338336	0.0015940748720060644	0.0018657896154365625	0.0035921465561213344	0.0019549874122749304	0.0020933577334071897	0.0024780089497788964	0.004505811690983074	0.002961879555004601	0.003055030793863249	0.0043486310084176	0.0021817807345270177	0.003994885215295994	0.0005526855142661925	0.004069503549367399	0.0011173587501411254	0.0045714068028247365	0.0028108664056798018	0.002961879555004601
IGHV4-39:IGHD6-19:IGHJ5	0.004973826226354072	0.0038759260694787422	0.0022868902298668332	0.0033556397333557135	0.0016855245365126833	0.002557198798751714	0.003941760363798636	0.0028907702461094813	0.0035129929997759547	0.0031123291460979064	0.0037902817176758857	0.002424097629104138	0.0019385485943403046	0.003963780056349082	0.00373061165325007	0.002938547817320802	0.002836063701141914	0.0007330783268010779	0.004793862258355193	0.00046057126188849375	0.0017625875245667717	0.001466533359560227	0.0014285646258827304	0.0028026081250581924	0.0028907702461094813
