gene	IgK.C13	IgK.C15	IgK.C16	IgK.C20	IgK.C25	IgK.C26	IgK.C27	IgK.C28	IgK.C29	IgK.C32	IgK.C35	IgK.C37	IgK.C40	IgK.C41	IgK.C42	IgK.C43	IgK.C44	IgK.C46	IgK.C47	IgK.C48	IgK.C49	IgK.C50	IgK.C51	average	median
IGKV1-5:IGKJ1	0.0446305197100531	0.05895574634290134	0.048425321898898074	0.04457674440779377	0.055789863115057355	0.039844369936149135	0.05918418322882116	0.0534603799145516	0.05556762755203143	0.0455632572629806	0.04658923257382976	0.05715859497478922	0.05008983044503499	0.044483452754679	0.04664297572948921	0.05458247640320888	0.04298951265828824	0.038903799276093866	0.04625268778786126	0.040627523923737724	0.03602248561470475	0.04364566166852651	0.03511707766193047	0.047352318471365715	0.046252687787861263
IGKV3-15:IGKJ1	0.04122424058797334	0.04166206074898362	0.04090416737928281	0.03715721943617569	0.04126772721667285	0.04362133958296702	0.04736043560256936	0.04372185340052053	0.044087842224017064	0.03941139509101138	0.04451200564378639	0.03884016214002234	0.04288000149717409	0.04295573821562941	0.03819182270127482	0.040519742308059	0.03554626740335709	0.036712382734592375	0.03975652377271221	0.036400125486985166	0.03801320192499106	0.04110717795990157	0.042364446213949775	0.040792081707504736	0.04110717795990157
IGKV4-1:IGKJ1	0.04544765944553854	0.04333247356203249	0.03933641183512911	0.030035667354984037	0.04535701072881984	0.03989756669173812	0.04208119773254552	0.03423536639368221	0.03722730384941801	0.036516401127731746	0.034937725184556866	0.03728655565442144	0.04007280008983044	0.04295573821562941	0.030202481313946473	0.047091431606761	0.03836134092926054	0.034717947455248324	0.034299745999987	0.03898106347994989	0.02616370007804871	0.026825897706866105	0.03713887575584143	0.037500102703998575	0.03728655565442144
IGKV3-11:IGKJ4	0.04007657242015671	0.03970669516194405	0.04025263260768647	0.03934732018080994	0.03358490566037737	0.03584870251635433	0.03021382004125223	0.03563558587808638	0.03174707299640163	0.034098423215219775	0.038941006195287335	0.03242565051386714	0.0334173934199199	0.035278223777229265	0.03574422100457885	0.03777870091663147	0.044230053534110095	0.04025804545342624	0.03196112695453335	0.03831357951625211	0.0379658039176033	0.03719044909360983	0.03634570881130714	0.036537464947245434	0.036345708811307137
IGKV3-20:IGKJ1	0.038010769718086784	0.034489111610597284	0.027812390562518826	0.030303842956367823	0.040700456283142186	0.037060406393658964	0.04090318597642449	0.026534159229459214	0.03329137745124166	0.03345691887108395	0.034951722670608365	0.027517666388900675	0.03092600217090242	0.04391430420091544	0.028539959406756757	0.04157529862028574	0.02643306327712728	0.030285869056705984	0.033650129598472106	0.02816782326804598	0.027680436314457334	0.032590140189333205	0.030606912683206006	0.033017475952099938	0.032590140189333205
IGKV3-15:IGKJ4	0.034430045034498896	0.027694461844577908	0.027323739483821562	0.03389441628600629	0.03106424959921076	0.03045514257469343	0.029123068415214247	0.027724345791202767	0.03081775704127666	0.02822619114197643	0.028932803668461154	0.03223733457621854	0.029089624583598456	0.029886290109995443	0.024960919189890015	0.02843192002288173	0.02810302214842594	0.03545662718833871	0.027089003943171555	0.029480541729984933	0.030713908787274577	0.032313013146906905	0.029207206310498415	0.029854592722527194	0.029207206310498415
IGKV3-15:IGKJ2	0.025271653055322186	0.03396096638294213	0.029563390261183993	0.02869478934806511	0.025175730669626348	0.029391207462913748	0.028179568258691376	0.029745912671811304	0.03068109293022887	0.025964477108164213	0.029205754646465507	0.028112038567104043	0.028136345772354684	0.029970164633707972	0.027766424908272653	0.024465071301126375	0.02743503859990647	0.03767266638760988	0.02760869706438348	0.027344593046152058	0.028509901443743296	0.02832238373596814	0.024976982606315472	0.028528471776611282	0.028179568258691376
IGKV3-11:IGKJ1	0.031859268338589646	0.02461402409816131	0.02547093747709447	0.025521378065023637	0.031767172277716124	0.027425882881431832	0.02755238607371954	0.02821442261074423	0.029000124364341046	0.026433268744263473	0.027239107856229027	0.023139320838570877	0.025650802859602497	0.03235160200340291	0.021058610824403048	0.02717206248893368	0.025478801064956622	0.027331150124344422	0.029189430308069753	0.0283903179226119	0.0262900947644161	0.024719732184426205	0.028896160449896725	0.027163741679171707	0.027239107856229027
IGKV4-1:IGKJ4	0.02837035710842709	0.026677475220162856	0.02266119377458525	0.02842661374668132	0.030040695523492422	0.029435538092571236	0.02604714882978712	0.027934378713863395	0.025993513921289665	0.025660173765433118	0.027295097800435052	0.03133106412628468	0.02424720215593068	0.030284694097629947	0.024522198131048282	0.02829571920840086	0.02776903037416621	0.0217910521261665	0.024555499977263424	0.022961448351203353	0.023699003693884703	0.023832925648662035	0.028554010003234875	0.026538523234374091	0.026677475220162856
IGKV4-1:IGKJ2	0.027475175937530117	0.025866833707947966	0.024697239935823814	0.02565546586571553	0.02589715131335554	0.03125309390852819	0.02496730472000951	0.026411640024573847	0.023574559155743784	0.022896770436848013	0.02557340701609992	0.026764402638306303	0.02608357974323464	0.03248640034508375	0.027154524484098667	0.02558872802059356	0.02500166995887129	0.019205673060350134	0.02546496293938429	0.022961448351203353	0.022245464800659778	0.02527398626927881	0.024028292731480327	0.025501207624553091	0.025573407016099919
