gene	Start	End	isotype	Stain
HV	0	10000000	IGHV1-18	acen
HV	10000000	20000000	IGHV1-2	acen
HV	20000000	30000000	IGHV1-24	acen
HV	30000000	40000000	IGHV1-3	acen
HV	40000000	50000000	IGHV1-38-4	acen
HV	50000000	60000000	IGHV1-45	acen
HV	60000000	70000000	IGHV1-46	acen
HV	70000000	80000000	IGHV1-58	acen
HV	80000000	90000000	IGHV1-68	acen
HV	90000000	100000000	IGHV1-69	acen
HV	100000000	110000000	IGHV1-69-2	acen
HV	110000000	120000000	IGHV1-69D	acen
HV	120000000	130000000	IGHV1-8	acen
HV	130000000	140000000	IGHV1-NL1	acen
HV	140000000	150000000	IGHV1/OR15-1	acen
HV	150000000	160000000	IGHV1/OR15-2	acen
HV	160000000	170000000	IGHV1/OR15-3	acen
HV	170000000	180000000	IGHV1/OR15-4	acen
HV	180000000	190000000	IGHV1/OR15-5	acen
HV	190000000	200000000	IGHV1/OR15-9	acen
HV	200000000	210000000	IGHV1/OR21-1	acen
HV	210000000	220000000	IGHV2-10	stalk
HV	220000000	230000000	IGHV2-26	stalk
HV	230000000	240000000	IGHV2-5	stalk
HV	240000000	250000000	IGHV2-70	stalk
HV	250000000	260000000	IGHV2-70D	stalk
HV	260000000	270000000	IGHV2/OR16-5	stalk
HV	270000000	280000000	IGHV3-11	gpos100
HV	280000000	290000000	IGHV3-13	gpos100
HV	290000000	300000000	IGHV3-15	gpos100
HV	300000000	310000000	IGHV3-16	gpos100
HV	310000000	320000000	IGHV3-19	gpos100
HV	320000000	330000000	IGHV3-20	gpos100
HV	330000000	340000000	IGHV3-21	gpos100
HV	340000000	350000000	IGHV3-22	gpos100
HV	350000000	360000000	IGHV3-23	gpos100
HV	360000000	370000000	IGHV3-23D	gpos100
HV	370000000	380000000	IGHV3-25	gpos100
HV	380000000	390000000	IGHV3-29	gpos100
HV	390000000	400000000	IGHV3-30	gpos100
HV	400000000	410000000	IGHV3-30-2	gpos100
HV	410000000	420000000	IGHV3-30-22	gpos100
HV	420000000	430000000	IGHV3-30-3	gpos100
HV	430000000	440000000	IGHV3-30-33	gpos100
HV	440000000	450000000	IGHV3-30-42	gpos100
HV	450000000	460000000	IGHV3-30-5	gpos100
HV	460000000	470000000	IGHV3-30-52	gpos100
HV	470000000	480000000	IGHV3-32	gpos100
HV	480000000	490000000	IGHV3-33	gpos100
HV	490000000	500000000	IGHV3-33-2	gpos100
HV	500000000	510000000	IGHV3-35	gpos100
HV	510000000	520000000	IGHV3-38	gpos100
HV	520000000	530000000	IGHV3-38-3	gpos100
HV	530000000	540000000	IGHV3-43	gpos100
HV	540000000	550000000	IGHV3-43D	gpos100
HV	550000000	560000000	IGHV3-47	gpos100
HV	560000000	570000000	IGHV3-48	gpos100
HV	570000000	580000000	IGHV3-49	gpos100
HV	580000000	590000000	IGHV3-52	gpos100
HV	590000000	600000000	IGHV3-53	gpos100
HV	600000000	610000000	IGHV3-54	gpos100
HV	610000000	620000000	IGHV3-62	gpos100
HV	620000000	630000000	IGHV3-63	gpos100
HV	630000000	640000000	IGHV3-64	gpos100
HV	640000000	650000000	IGHV3-64D	gpos100
HV	650000000	660000000	IGHV3-66	gpos100
HV	660000000	670000000	IGHV3-69-1	gpos100
HV	670000000	680000000	IGHV3-7	gpos100
HV	680000000	690000000	IGHV3-71	gpos100
HV	690000000	700000000	IGHV3-72	gpos100
HV	700000000	710000000	IGHV3-73	gpos100
HV	710000000	720000000	IGHV3-74	gpos100
HV	720000000	730000000	IGHV3-9	gpos100
HV	730000000	740000000	IGHV3-NL1	gpos100
HV	740000000	750000000	IGHV3/OR15-7	gpos100
HV	750000000	760000000	IGHV3/OR16-10	gpos100
HV	760000000	770000000	IGHV3/OR16-12	gpos100
HV	770000000	780000000	IGHV3/OR16-13	gpos100
HV	780000000	790000000	IGHV3/OR16-14	gpos100
HV	790000000	800000000	IGHV3/OR16-15	gpos100
HV	800000000	810000000	IGHV3/OR16-16	gpos100
HV	810000000	820000000	IGHV3/OR16-6	gpos100
HV	820000000	830000000	IGHV3/OR16-8	gpos100
HV	830000000	840000000	IGHV3/OR16-9	gpos100
HV	840000000	850000000	IGHV4-28	gpos25
HV	850000000	860000000	IGHV4-30-2	gpos25
HV	860000000	870000000	IGHV4-30-4	gpos25
HV	870000000	880000000	IGHV4-31	gpos25
HV	880000000	890000000	IGHV4-34	gpos25
HV	890000000	900000000	IGHV4-38-2	gpos25
HV	900000000	910000000	IGHV4-39	gpos25
HV	910000000	920000000	IGHV4-4	gpos25
HV	920000000	930000000	IGHV4-55	gpos25
HV	930000000	940000000	IGHV4-59	gpos25
HV	940000000	950000000	IGHV4-61	gpos25
HV	950000000	960000000	IGHV4/OR15-8	gpos25
HV	960000000	970000000	IGHV5-10-1	stalk
HV	970000000	980000000	IGHV5-51	stalk
HV	980000000	990000000	IGHV5-78	stalk
HV	990000000	1000000000	IGHV6-1	acen
HV	1000000000	1010000000	IGHV7-34-1	gpos75
HV	1010000000	1020000000	IGHV7-4-1	gpos75
HV	1020000000	1030000000	IGHV7-40	gpos75
HV	1030000000	1040000000	IGHV7-81	gpos75
KV	0	10000000	IGKV1-12	acen
KV	10000000	20000000	IGKV1-13	acen
KV	20000000	30000000	IGKV1-16	acen
KV	30000000	40000000	IGKV1-17	acen
KV	40000000	50000000	IGKV1-27	acen
KV	50000000	60000000	IGKV1-33	acen
KV	60000000	70000000	IGKV1-37	acen
KV	70000000	80000000	IGKV1-39	acen
KV	80000000	90000000	IGKV1-5	acen
KV	90000000	100000000	IGKV1-6	acen
KV	100000000	110000000	IGKV1-8	acen
KV	110000000	120000000	IGKV1-9	acen
KV	120000000	130000000	IGKV1-NL1	acen
KV	130000000	140000000	IGKV1/OR-2	acen
KV	140000000	150000000	IGKV1/OR-3	acen
KV	150000000	160000000	IGKV1/OR-4	acen
KV	160000000	170000000	IGKV1/OR1-1	acen
KV	170000000	180000000	IGKV1/OR10-1	acen
KV	180000000	190000000	IGKV1/OR15-118	acen
KV	190000000	200000000	IGKV1/OR2-0	acen
KV	200000000	210000000	IGKV1/OR2-1	acen
KV	210000000	220000000	IGKV1/OR2-108	acen
KV	220000000	230000000	IGKV1/OR2-11	acen
KV	230000000	240000000	IGKV1/OR2-118	acen
KV	240000000	250000000	IGKV1/OR2-2	acen
KV	250000000	260000000	IGKV1/OR2-3	acen
KV	260000000	270000000	IGKV1/OR2-9	acen
KV	270000000	280000000	IGKV1/OR22-5	acen
KV	280000000	290000000	IGKV1/OR9-1	acen
KV	290000000	300000000	IGKV1/OR9-2	acen
KV	300000000	310000000	IGKV1/ORY-1	acen
KV	310000000	320000000	IGKV1D-12	acen
KV	320000000	330000000	IGKV1D-13	acen
KV	330000000	340000000	IGKV1D-16	acen
KV	340000000	350000000	IGKV1D-17	acen
KV	350000000	360000000	IGKV1D-33	acen
KV	360000000	370000000	IGKV1D-37	acen
KV	370000000	380000000	IGKV1D-39	acen
KV	380000000	390000000	IGKV1D-42	acen
KV	390000000	400000000	IGKV1D-43	acen
KV	400000000	410000000	IGKV1D-8	acen
KV	410000000	420000000	IGKV2-18	stalk
KV	420000000	430000000	IGKV2-24	stalk
KV	430000000	440000000	IGKV2-28	stalk
KV	440000000	450000000	IGKV2-29	stalk
KV	450000000	460000000	IGKV2-30	stalk
KV	460000000	470000000	IGKV2-4	stalk
KV	470000000	480000000	IGKV2-40	stalk
KV	480000000	490000000	IGKV2/OR2-7D	stalk
KV	490000000	500000000	IGKV2/OR22-4	stalk
KV	500000000	510000000	IGKV2D-18	stalk
KV	510000000	520000000	IGKV2D-24	stalk
KV	520000000	530000000	IGKV2D-26	stalk
KV	530000000	540000000	IGKV2D-28	stalk
KV	540000000	550000000	IGKV2D-29	stalk
KV	550000000	560000000	IGKV2D-30	stalk
KV	560000000	570000000	IGKV2D-40	stalk
KV	570000000	580000000	IGKV3-11	gpos100
KV	580000000	590000000	IGKV3-15	gpos100
KV	590000000	600000000	IGKV3-20	gpos100
KV	600000000	610000000	IGKV3-7	gpos100
KV	610000000	620000000	IGKV3/OR2-268	gpos100
KV	620000000	630000000	IGKV3D-11	gpos100
KV	630000000	640000000	IGKV3D-15	gpos100
KV	640000000	650000000	IGKV3D-20	gpos100
KV	650000000	660000000	IGKV3D-7	gpos100
KV	660000000	670000000	IGKV4-1	gpos25
KV	670000000	680000000	IGKV5-2	stalk
KV	680000000	690000000	IGKV6-21	acen
KV	690000000	700000000	IGKV6D-21	acen
KV	700000000	710000000	IGKV6D-41	acen
KV	710000000	720000000	IGKV7-3	gpos75
LV	0	10000000	IGLV1-36	acen
LV	10000000	20000000	IGLV1-40	acen
LV	20000000	30000000	IGLV1-41	acen
LV	30000000	40000000	IGLV1-44	acen
LV	40000000	50000000	IGLV1-47	acen
LV	50000000	60000000	IGLV1-50	acen
LV	60000000	70000000	IGLV1-51	acen
LV	70000000	80000000	IGLV1-62	acen
LV	80000000	90000000	IGLV10-54	acen
LV	90000000	100000000	IGLV11-55	acen
LV	100000000	110000000	IGLV2-11	stalk
LV	110000000	120000000	IGLV2-14	stalk
LV	120000000	130000000	IGLV2-18	stalk
LV	130000000	140000000	IGLV2-23	stalk
LV	140000000	150000000	IGLV2-33	stalk
LV	150000000	160000000	IGLV2-34	stalk
LV	160000000	170000000	IGLV2-5	stalk
LV	170000000	180000000	IGLV2-8	stalk
LV	180000000	190000000	IGLV2-NL1	stalk
LV	190000000	200000000	IGLV3-1	gpos100
LV	200000000	210000000	IGLV3-10	gpos100
LV	210000000	220000000	IGLV3-12	gpos100
LV	220000000	230000000	IGLV3-13	gpos100
LV	230000000	240000000	IGLV3-16	gpos100
LV	240000000	250000000	IGLV3-19	gpos100
LV	250000000	260000000	IGLV3-21	gpos100
LV	260000000	270000000	IGLV3-22	gpos100
LV	270000000	280000000	IGLV3-25	gpos100
LV	280000000	290000000	IGLV3-27	gpos100
LV	290000000	300000000	IGLV3-31	gpos100
LV	300000000	310000000	IGLV3-32	gpos100
LV	310000000	320000000	IGLV3-9	gpos100
LV	320000000	330000000	IGLV4-3	gpos25
LV	330000000	340000000	IGLV4-60	gpos25
LV	340000000	350000000	IGLV4-69	gpos25
LV	350000000	360000000	IGLV5-37	stalk
LV	360000000	370000000	IGLV5-39	stalk
LV	370000000	380000000	IGLV5-45	stalk
LV	380000000	390000000	IGLV5-48	stalk
LV	390000000	400000000	IGLV5-52	stalk
LV	400000000	410000000	IGLV6-57	acen
LV	410000000	420000000	IGLV7-43	gpos75
LV	420000000	430000000	IGLV7-46	gpos75
LV	430000000	440000000	IGLV8-61	gneg
LV	440000000	450000000	IGLV8/OR8-1	gneg
LV	450000000	460000000	IGLV9-49	stalk
HD	0	10000000	IGHD1-1	acen
HD	10000000	20000000	IGHD1-14	acen
HD	20000000	30000000	IGHD1-20	acen
HD	30000000	40000000	IGHD1-26	acen
HD	40000000	50000000	IGHD1-7	acen
HD	50000000	60000000	IGHD1/OR15-1a	acen
HD	60000000	70000000	IGHD1/OR15-1b	acen
HD	70000000	80000000	IGHD2-15	stalk
HD	80000000	90000000	IGHD2-2	stalk
HD	90000000	100000000	IGHD2-21	stalk
HD	100000000	110000000	IGHD2-8	stalk
HD	110000000	120000000	IGHD2/OR15-2a	stalk
HD	120000000	130000000	IGHD2/OR15-2b	stalk
HD	130000000	140000000	IGHD3-10	gpos100
HD	140000000	150000000	IGHD3-16	gpos100
HD	150000000	160000000	IGHD3-22	gpos100
HD	160000000	170000000	IGHD3-3	gpos100
HD	170000000	180000000	IGHD3-9	gpos100
HD	180000000	190000000	IGHD3/OR15-3a	gpos100
HD	190000000	200000000	IGHD3/OR15-3b	gpos100
HD	200000000	210000000	IGHD4-11	gpos25
HD	210000000	220000000	IGHD4-17	gpos25
HD	220000000	230000000	IGHD4-23	gpos25
HD	230000000	240000000	IGHD4-4	gpos25
HD	240000000	250000000	IGHD4/OR15-4a	gpos25
HD	250000000	260000000	IGHD4/OR15-4b	gpos25
HD	260000000	270000000	IGHD5-12	stalk
HD	270000000	280000000	IGHD5-18	stalk
HD	280000000	290000000	IGHD5-24	stalk
HD	290000000	300000000	IGHD5-5	stalk
HD	300000000	310000000	IGHD5/OR15-5a	stalk
HD	310000000	320000000	IGHD5/OR15-5b	stalk
HD	320000000	330000000	IGHD6-13	acen
HD	330000000	340000000	IGHD6-19	acen
HD	340000000	350000000	IGHD6-25	acen
HD	350000000	360000000	IGHD6-6	acen
HD	360000000	370000000	IGHD7-27	gpos75
HJ	0	10000000	IGHJ1	acen
HJ	10000000	20000000	IGHJ2	stalk
HJ	20000000	30000000	IGHJ3	gpos100
HJ	30000000	40000000	IGHJ4	gpos25
HJ	40000000	50000000	IGHJ5	stalk
HJ	50000000	60000000	IGHJ6	acen
KJ	0	10000000	IGKJ1	acen
KJ	10000000	20000000	IGKJ2	stalk
KJ	20000000	30000000	IGKJ3	gpos100
KJ	30000000	40000000	IGKJ4	gpos25
KJ	40000000	50000000	IGKJ5	stalk
LJ	0	10000000	IGLJ1	acen
LJ	10000000	20000000	IGLJ2	stalk
LJ	20000000	30000000	IGLJ3	gpos100
LJ	30000000	40000000	IGLJ4	gpos25
LJ	40000000	50000000	IGLJ5	stalk
LJ	50000000	60000000	IGLJ6	acen
LJ	60000000	70000000	IGLJ7	gpos75
