gene	Start	End	isotype	average
HV	900000000	910000000	IGHV4-39	6.388905820723629
HV	670000000	680000000	IGHV3-7	6.355464075511133
HV	880000000	890000000	IGHV4-34	5.554443159548557
HV	350000000	360000000	IGHV3-23	5.3942338770551475
HV	10000000	20000000	IGHV1-2	5.326847753459891
HV	390000000	400000000	IGHV3-30	5.302386864714172
HV	480000000	490000000	IGHV3-33	5.288928989613421
HV	930000000	940000000	IGHV4-59	5.286835825848
HV	0	10000000	IGHV1-18	5.2082717942013845
HV	590000000	600000000	IGHV3-53	5.175552828970455
HV	560000000	570000000	IGHV3-48	5.174911966416163
HV	90000000	100000000	IGHV1-69	5.16427924941411
HV	970000000	980000000	IGHV5-51	5.120992547535208
HV	330000000	340000000	IGHV3-21	5.072830408243941
HV	710000000	720000000	IGHV3-74	5.044238865016772
HV	360000000	370000000	IGHV3-23D	4.670045956464978
HV	910000000	920000000	IGHV4-4	4.636363812266679
HV	290000000	300000000	IGHV3-15	4.421483945110214
HV	720000000	730000000	IGHV3-9	4.4043276767199195
HV	20000000	30000000	IGHV1-24	4.200208923095686
HV	450000000	460000000	IGHV3-30-5	4.1237863373879255
HV	30000000	40000000	IGHV1-3	4.112070063185785
HV	870000000	880000000	IGHV4-31	4.093994229364535
HV	650000000	660000000	IGHV3-66	4.00782357105328
HV	890000000	900000000	IGHV4-38-2	4.0061806470884385
HV	940000000	950000000	IGHV4-61	3.9992545065676346
HV	420000000	430000000	IGHV3-30-3	3.9705779984525753
HV	230000000	240000000	IGHV2-5	3.900839068692598
HV	110000000	120000000	IGHV1-69D	3.8745259771040597
HV	60000000	70000000	IGHV1-46	3.7422281941358553
HV	270000000	280000000	IGHV3-11	3.6253714634536243
HV	120000000	130000000	IGHV1-8	3.2768384458097066
HV	960000000	970000000	IGHV5-10-1	2.962380008995365
HV	570000000	580000000	IGHV3-49	2.9319679257224163
HV	690000000	700000000	IGHV3-72	2.9254730150782584
HV	990000000	1000000000	IGHV6-1	2.896813021332783
HV	700000000	710000000	IGHV3-73	2.4759299938438533
HV	240000000	250000000	IGHV2-70	2.4257232105512756
HV	850000000	860000000	IGHV4-30-2	2.3942082974984293
HV	100000000	110000000	IGHV1-69-2	2.261453629611418
HV	860000000	870000000	IGHV4-30-4	2.2453188835194333
HV	530000000	540000000	IGHV3-43	2.1787628126505827
HV	1010000000	1020000000	IGHV7-4-1	2.1649953962543522
HV	630000000	640000000	IGHV3-64	2.1116585564281793
HV	640000000	650000000	IGHV3-64D	1.914183119969285
HV	660000000	670000000	IGHV3-69-1	1.5583230154393515
HV	140000000	150000000	IGHV1/OR15-1	1.500371105088798
HV	320000000	330000000	IGHV3-20	1.349381168809893
HV	220000000	230000000	IGHV2-26	1.2840443269394741
HV	280000000	290000000	IGHV3-13	1.2241371920512314
HV	730000000	740000000	IGHV3-NL1	1.2166818875282965
HV	950000000	960000000	IGHV4/OR15-8	1.0563487184076767
HV	540000000	550000000	IGHV3-43D	1.0460730559591447
HV	70000000	80000000	IGHV1-58	0.9316310336757649
HV	1030000000	1040000000	IGHV7-81	0.8273406940184632
HV	250000000	260000000	IGHV2-70D	0.6009064886124342
HV	680000000	690000000	IGHV3-71	0.4586059073047818
HV	840000000	850000000	IGHV4-28	0.3966668718392991
HV	920000000	930000000	IGHV4-55	0.3461857006198092
HV	260000000	270000000	IGHV2/OR16-5	0.3073047464254385
HV	980000000	990000000	IGHV5-78	0.27319070076284174
HV	50000000	60000000	IGHV1-45	0.2136729346668711
HV	370000000	380000000	IGHV3-25	0.20815161208037036
HV	160000000	170000000	IGHV1/OR15-3	0.20722648511443476
HV	550000000	560000000	IGHV3-47	0.18149080364173734
HV	750000000	760000000	IGHV3/OR16-10	0.1786850814786205
HV	150000000	160000000	IGHV1/OR15-2	0.17605690508293365
HV	310000000	320000000	IGHV3-19	0.17160262326501113
HV	610000000	620000000	IGHV3-62	0.16713735403733698
HV	500000000	510000000	IGHV3-35	0.15226945294842348
HV	830000000	840000000	IGHV3/OR16-9	0.14270676506481275
HV	820000000	830000000	IGHV3/OR16-8	0.1172307227937994
HV	200000000	210000000	IGHV1/OR21-1	0.11438305434596986
