gene	Start	End	isotype
HV	900000000	910000000	IGHV4-39
HV	670000000	680000000	IGHV3-7
HV	880000000	890000000	IGHV4-34
HV	350000000	360000000	IGHV3-23
HV	10000000	20000000	IGHV1-2
HV	390000000	400000000	IGHV3-30
HV	480000000	490000000	IGHV3-33
HV	930000000	940000000	IGHV4-59
HV	0	10000000	IGHV1-18
HV	590000000	600000000	IGHV3-53
HV	560000000	570000000	IGHV3-48
HV	90000000	100000000	IGHV1-69
HV	970000000	980000000	IGHV5-51
HV	330000000	340000000	IGHV3-21
HV	710000000	720000000	IGHV3-74
HV	360000000	370000000	IGHV3-23D
HV	910000000	920000000	IGHV4-4
HV	290000000	300000000	IGHV3-15
HV	720000000	730000000	IGHV3-9
HV	20000000	30000000	IGHV1-24
HV	450000000	460000000	IGHV3-30-5
HV	30000000	40000000	IGHV1-3
HV	870000000	880000000	IGHV4-31
HV	650000000	660000000	IGHV3-66
HV	890000000	900000000	IGHV4-38-2
HV	940000000	950000000	IGHV4-61
HV	420000000	430000000	IGHV3-30-3
HV	230000000	240000000	IGHV2-5
HV	110000000	120000000	IGHV1-69D
HV	60000000	70000000	IGHV1-46
HV	270000000	280000000	IGHV3-11
HV	120000000	130000000	IGHV1-8
HV	960000000	970000000	IGHV5-10-1
HV	570000000	580000000	IGHV3-49
HV	690000000	700000000	IGHV3-72
HV	990000000	1000000000	IGHV6-1
HV	700000000	710000000	IGHV3-73
HV	240000000	250000000	IGHV2-70
HV	850000000	860000000	IGHV4-30-2
HV	100000000	110000000	IGHV1-69-2
HV	860000000	870000000	IGHV4-30-4
HV	530000000	540000000	IGHV3-43
HV	1010000000	1020000000	IGHV7-4-1
HV	630000000	640000000	IGHV3-64
HV	640000000	650000000	IGHV3-64D
HV	660000000	670000000	IGHV3-69-1
HV	140000000	150000000	IGHV1/OR15-1
HV	320000000	330000000	IGHV3-20
HV	220000000	230000000	IGHV2-26
HV	280000000	290000000	IGHV3-13
HV	730000000	740000000	IGHV3-NL1
HV	950000000	960000000	IGHV4/OR15-8
HV	540000000	550000000	IGHV3-43D
HV	70000000	80000000	IGHV1-58
HV	1030000000	1040000000	IGHV7-81
HV	250000000	260000000	IGHV2-70D
HV	680000000	690000000	IGHV3-71
HV	840000000	850000000	IGHV4-28
HV	920000000	930000000	IGHV4-55
HV	260000000	270000000	IGHV2/OR16-5
HD	330000000	340000000	IGHD6-19
HD	130000000	140000000	IGHD3-10
HD	150000000	160000000	IGHD3-22
HD	30000000	40000000	IGHD1-26
HD	160000000	170000000	IGHD3-3
HD	320000000	330000000	IGHD6-13
HD	140000000	150000000	IGHD3-16
HD	70000000	80000000	IGHD2-15
HD	210000000	220000000	IGHD4-17
HD	280000000	290000000	IGHD5-24
HD	90000000	100000000	IGHD2-21
HD	170000000	180000000	IGHD3-9
HD	260000000	270000000	IGHD5-12
HD	350000000	360000000	IGHD6-6
HD	100000000	110000000	IGHD2-8
HD	80000000	90000000	IGHD2-2
HD	220000000	230000000	IGHD4-23
HD	360000000	370000000	IGHD7-27
HD	340000000	350000000	IGHD6-25
HD	40000000	50000000	IGHD1-7
HJ	30000000	40000000	IGHJ4
HJ	50000000	60000000	IGHJ6
HJ	40000000	50000000	IGHJ5
KV	580000000	590000000	IGKV3-15
KV	570000000	580000000	IGKV3-11
KV	660000000	670000000	IGKV4-1
KV	80000000	90000000	IGKV1-5
KV	590000000	600000000	IGKV3-20
KV	70000000	80000000	IGKV1-39
KV	370000000	380000000	IGKV1D-39
KV	110000000	120000000	IGKV1-9
KV	640000000	650000000	IGKV3D-20
KV	630000000	640000000	IGKV3D-15
KV	50000000	60000000	IGKV1-33
KV	350000000	360000000	IGKV1D-33
KV	530000000	540000000	IGKV2D-28
KV	430000000	440000000	IGKV2-28
KV	450000000	460000000	IGKV2-30
KV	20000000	30000000	IGKV1-16
KV	40000000	50000000	IGKV1-27
KV	30000000	40000000	IGKV1-17
KV	0	10000000	IGKV1-12
KV	100000000	110000000	IGKV1-8
KV	310000000	320000000	IGKV1D-12
KV	90000000	100000000	IGKV1-6
KV	540000000	550000000	IGKV2D-29
KV	120000000	130000000	IGKV1-NL1
KV	320000000	330000000	IGKV1D-13
KV	400000000	410000000	IGKV1D-8
KV	620000000	630000000	IGKV3D-11
KV	330000000	340000000	IGKV1D-16
KV	10000000	20000000	IGKV1-13
KV	440000000	450000000	IGKV2-29
KV	420000000	430000000	IGKV2-24
KV	690000000	700000000	IGKV6D-21
KV	680000000	690000000	IGKV6-21
KV	60000000	70000000	IGKV1-37
KV	360000000	370000000	IGKV1D-37
KV	610000000	620000000	IGKV3/OR2-268
KV	470000000	480000000	IGKV2-40
KV	560000000	570000000	IGKV2D-40
KV	550000000	560000000	IGKV2D-30
KV	650000000	660000000	IGKV3D-7
KV	390000000	400000000	IGKV1D-43
KV	670000000	680000000	IGKV5-2
KV	600000000	610000000	IGKV3-7
KV	490000000	500000000	IGKV2/OR22-4
KV	340000000	350000000	IGKV1D-17
KV	520000000	530000000	IGKV2D-26
KV	410000000	420000000	IGKV2-18
KJ	0	10000000	IGKJ1
KJ	30000000	40000000	IGKJ4
KJ	10000000	20000000	IGKJ2
LV	110000000	120000000	IGLV2-14
LV	100000000	110000000	IGLV2-11
LV	130000000	140000000	IGLV2-23
LV	170000000	180000000	IGLV2-8
LV	190000000	200000000	IGLV3-1
LV	10000000	20000000	IGLV1-40
LV	250000000	260000000	IGLV3-21
LV	270000000	280000000	IGLV3-25
LV	30000000	40000000	IGLV1-44
LV	40000000	50000000	IGLV1-47
LV	400000000	410000000	IGLV6-57
LV	60000000	70000000	IGLV1-51
LV	200000000	210000000	IGLV3-10
LV	420000000	430000000	IGLV7-46
LV	240000000	250000000	IGLV3-19
LV	410000000	420000000	IGLV7-43
LV	340000000	350000000	IGLV4-69
LV	430000000	440000000	IGLV8-61
LV	120000000	130000000	IGLV2-18
LV	280000000	290000000	IGLV3-27
LV	310000000	320000000	IGLV3-9
LV	80000000	90000000	IGLV10-54
LV	0	10000000	IGLV1-36
LV	230000000	240000000	IGLV3-16
LV	370000000	380000000	IGLV5-45
LV	450000000	460000000	IGLV9-49
LV	50000000	60000000	IGLV1-50
LV	330000000	340000000	IGLV4-60
LV	350000000	360000000	IGLV5-37
LV	160000000	170000000	IGLV2-5
LV	390000000	400000000	IGLV5-52
LV	360000000	370000000	IGLV5-39
LJ	20000000	30000000	IGLJ3
LJ	0	10000000	IGLJ1
LJ	10000000	20000000	IGLJ2
